Price,Address,Bedrooms,Baths,Area
995000,"5 Longwood Avenue, South Circular Road, Portobello, Dublin 8",3,3,152
550000,"Apartment 59, Block 3, Seamount, Stillorgan, Co. Dublin",3,2,98
595000,"Apartment 152, Bushy Park House, Templeogue, Dublin 6W",3,2,100
585000,"5 Court View, Rathborne Avenue, Ashtown, Dublin 15",5,3,147
745000,"5 Donard Terrace, Annamoe Road, Dublin 7",4,2,141
725000,"2 Vernon Drive, Clontarf, Clontarf, Dublin 3",3,2,100
395000,"1 Summer Street North, North Circular Road, Dublin 1",4,1,89
265000,"13 Ashwood Drive, Clondalkin, Clondalkin, Dublin 22",3,2,102
465000,"18 Gallery Quay, Grand Canal Quay, Dublin 2",3,2,88
585000,"1 Marian Drive, Rathfarnham, Dublin 14",3,1,108
595000,"1 Brookvale, Brookvale Road, Dublin 4",2,2,70
260000,"Apartment 84, Whatley Hall, Clonee, Dublin 15",2,2,84
345000,"58 Bantry Square, Blanchardstown, Dublin 15",2,3,
595000,"30 Clonliffe Road (plus Attic Conversion), Drumcondra, Dublin 3",3,3,147
360000,"Apartment 61, The Dickens, The Gasworks, Ringsend, Dublin 4",1,1,51
350000,"Daletree View, Ballycullen, Firhouse, Dublin 24",2,1,
500000,"34 Hollystown Park, Hollystown, Hollystown, Dublin 15",4,3,195
220000,"10 Fernleigh Crescent, Castleknock, Castleknock, Dublin 15",1,1,44
750000,"81 The Elms, Mount Merrion Avenue, Blackrock, Co. Dublin",3,2,110
775000,"29 Carysfort Woods, Blackrock, Co. Dublin",4,2,134
290000,"Apartment 2, Block B1, The Bottle Works, Ringsend, Dublin 4",1,1,46
950000,"9 Brehons Chair, Kellystown Road, Rathfarnham, Dublin 14",4,2,192
245000,"11 Windmill Court, Clonsilla, Dublin 15",2,2,62
495000,"47 Eden Villas, Glasthule, Co. Dublin",2,2,69
260000,"Apartment 13, Madison House, Rathgar, Dublin 6",1,1,46
,,,,
780000,"588 Howth Road, Raheny, Raheny, Dublin 5",4,3,182
549000,"8 Castelmoyne, Balgriffin, Dublin 13",5,4,174
395000,"69 Kirkpatrick House, Spencer Dock, IFSC, Co. Dublin",2,2,68
1250000,"6 Glaunsharoon, Eglinton Road, Donnybrook, Dublin 4",3,4,170
,,,,
295000,"3 Northbrook Terrace, North Strand, North Strand, Dublin 3",3,1,78
375000,"2 Latchford Park, Clonee, Dublin 15",3,3,
,"113 Phibsborough Road, Phibsborough, Dublin 7",,,49
1695000,"77 Ranelagh Road, Ranelagh, Dublin 6",3,2,228
635000,"11 Ramleh Hall, Mount St Annes, Milltown, Dublin 6",2,2,104
525000,"35 Merrion Strand, Sandymount, Dublin 4",2,1,62
425000,"39 South Dock Street, Ringsend, Dublin 4",2,1,57
275000,"11 Kearns Place, Kilmainham, Dublin 8",2,1,59
285000,"21 Belfry Grove, Citywest, Citywest, Co. Dublin",3,2,
295000,"Site to rear of 176 Botanic Road, Glasnevin, Dublin 9",,,004
695000,"4 Adrian Avenue, Harold's Cross, Dublin 6W",3,2,106
950000,"Apartment 419, Block 3/4, Gracepark Manor, Drumcondra, Dublin 9",4,4,250
305000,"14 Merchant Square, East Wall, East Wall, Dublin 3",2,1,56
1250000,"3 Stoney Road, Dundrum, Dundrum, Dublin 14",4,2,175
275000,"Apartment 162, Burnell Square, Mayne River Way, Clarehall, Dublin 13",2,2,82
320000,"Apartment 1, Waveney House, Howth, Dublin 13",1,1,55
595000,"19 Woodlawn Grove, Churchtown, Dublin 14",3,1,90
3975000,"Glenmore, 63 Orwell Park, Rathgar, Dublin 6",5,4,341
325000,"7 Morehampton Square, Donnybrook, Dublin 4",1,1,42
350000,"12 Susanville Road, Drumcondra, Dublin 3",2,1,63
395000,"103 Ceannt Fort, Kilmainham, Dublin 8",2,1,73
450000,"78 Aughrim Street, Stoneybatter, Dublin 7",2,2,95
395000,"4 Knightswood, Santry, Santry, Dublin 9",4,3,
295000,"153 Pugin House, Loreto Abbey, Rathfarnham, Dublin 14",1,1,46
450000,"43 Montpelier Gardens D07E205, Dublin 7",3,2,92
1175000,"10 Barnhill Grove, Barnhill Road, Dalkey, Co. Dublin",4,3,195
6900000,"Mount Alverno, Sorrento Road, Dalkey, Co. Dublin",5,5,655
1190000,"2 Monaloe Crescent, Blackrock, Co. Dublin",3,2,120
255000,"35 Linnetfields Square, Clonee, Dublin 15",2,1,75
425000,"34 Gordon Street, Ringsend, Ringsend, Dublin 4",2,2,66
470000,"2a Dartmouth Place, Ranelagh, Dublin 6",2,1,
695000,"61 Flower Grove, Glenageary, Co. Dublin",4,2,126
395000,"8 Chancery Court, Chancery Lane, Dublin 8",2,2,76
,,,,
575000,"1 Dodderbrook View, Ballycullen, Dublin 24",4,3,146
295000,"Apartment 9, Richmond Square, Morning Star Avenue, Dublin 7",2,1,65
,,,,
450000,"19 Cloncurry House, Spencer Dock, IFSC, Dublin 1",2,2,74
234,,,,
740000,,,,
,,,,
,,,,
,,,,
235000,"3 Finn Eber Square, Finglas, Finglas, Dublin 11",2,1,71
269000,"64 Grange View Road, Clondalkin, Clondalkin, Dublin 22",3,2,
1250000,"Vico, The Victorian Villa, The Court Killiney Bay, Killiney, Co. Dublin",2,3,243
425000,"15 Bargy Road, East Wall, East Wall, Dublin 3",3,1,94
535000,"Apartment 31, Milltown Grove, Milltown, Dublin 6",3,2,96
222500,"The Eden, Prospect Hill, Finglas, Dublin 11",2,2,
179950,"The Beech, Clonshaugh Woods, Clonshaugh, Dublin 17",2,1,
299000,"5 Ellensborough Grange, Kiltipper Road, Kiltipper, Dublin 24",2,1,
320000,"Apartment 11, Poolbeg Quay, Dublin 4",2,1,65
230000,"24 Rialto Cottages, Rialto, Dublin 8",1,1,39
445000,"34 Murtagh Road, Stoneybatter, Stoneybatter, Dublin 7",2,1,80
350000,"Apartment 101, Saint Gabriels, Cabinteely, Dublin 18",2,2,77
170000,"Newtown court way, Coolock, Dublin 13",2,2,85
265000,"19 Lurgan Street, Smithfield, Dublin 7",2,1,56
470000,"7A Allenton Drive, Tallaght, Dublin 24",3,3,133
1200000,"24 Chelmsford Road, D06KT50, Ranelagh, Dublin 6",,,185
550000,"11 Ratra Road, Navan Road, Dublin 7",3,2,118
305000,"30 Bunratty Avenue, Coolock, Dublin 17",4,1,80
650000,"9 Alma Court, Alma Road, Monkstown, Co. Dublin",2,2,104
395000,"16 Rochfort House, Brennanstown, Cabinteely, Dublin 18",2,2,79
385000,"27 Bessborough Avenue, North Strand, Dublin 3",2,1,99
395000,"8B The Woodlands, Rathfarnham, Dublin 14",2,1,
375000,"Apartment 3 Steevens Gate, Block 1, James Street, Dublin 8",3,1,
170000,"Apartment 36 Clifden Court, Ellis Quay, Dublin 7",1,1,
200000,"Apartment 33, Clipper View, Liffey Street West, Dublin 7",2,1,
360000,"Apartment 25, Longford House, Spencer Dock, Dublin 1",2,2,
745000,"14 Merton Avenue, South Circular Road, Dublin 8",3,1,109
1475000,"Penthouse 3, Killiney Hill Park, Killiney, Co. Dublin",3,3,242
320000,"132 Captains Avenue, Crumlin, Dublin 12",2,1,
