Price,Address_x,Address_y,Bedrooms,Baths,Area
550000.0,53.31673005,-6.295232049999996,3.0,2.0,108.0
550000.0,53.38143455,-6.246925099334277,3.0,2.0,175.0
250000.0,53.3768047,-6.268684463712985,2.0,1.0,52.0
345000.0,52.2040429,0.1042596519933706,3.0,3.0,110.0
325000.0,53.3334215,-6.2914261,2.0,1.0,73.0
605000.0,53.357088,-6.373371,4.0,4.0,130.0
245000.0,53.3868998,-6.3775408,2.0,1.0,60.0
900000.0,53.3667036,-6.25594049796138,4.0,3.0,174.0
620000.0,53.3527237,-6.284753657396455,5.0,2.0,145.0
1200000.0,53.32310543333333,-6.25828,4.0,1.0,165.0
390000.0,53.38548025,-6.24852055,3.0,2.0,111.0
375000.0,53.2988099,-6.2855388,2.0,2.0,66.0
2500000.0,53.3858337,-6.0651186,6.0,4.0,366.0
270000.0,52.9483549,-1.243318161953952,2.0,2.0,67.0
675000.0,53.2917611,-6.233523467811359,4.0,2.0,158.0
1750000.0,-43.4782707,172.5920719074373,6.0,8.0,230.0
450000.0,53.37046685,-6.2507389,2.0,1.0,94.0
485000.0,-43.4782707,172.5920719074373,3.0,2.0,121.0
349950.0,53.3394635,-6.3209233,3.0,1.0,81.0
395000.0,-26.0808328,28.1962283,2.0,2.0,75.0
825000.0,46.3144754,11.0480288,3.0,2.0,111.0
595000.0,53.3086291,-6.1966518,2.0,2.0,85.0
1400000.0,53.3099564,-6.2631069,3.0,3.0,170.0
550000.0,53.3909114,-6.1477733,4.0,1.0,132.0
795000.0,55.9528635,-3.1145573,2.0,2.0,123.0
275000.0,53.2889441,-6.3842703,3.0,1.0,82.0
695000.0,53.3640783,-6.2739369,4.0,2.0,126.0
470000.0,53.3123634,-6.312810139573179,3.0,1.0,98.0
845000.0,53.3018639,-6.1788342,2.0,2.0,130.0
555000.0,46.3144754,11.0480288,3.0,2.0,111.0
540000.0,52.3965418,-6.9454111,3.0,2.0,82.0
285000.0,53.383333,-6.416667,3.0,1.0,84.0
450000.0,40.4562165,-74.4432073,2.0,2.0,88.0
495000.0,53.3833942,-6.246446283018862,4.0,2.0,132.0
370000.0,53.3468773,-6.3457632,3.0,2.0,111.0
395000.0,53.3610883,-6.2713186,3.0,1.0,72.0
295000.0,41.5523285,-80.38160130108507,3.0,2.0,90.0
385000.0,53.3724634,-6.3352655,2.0,2.0,111.0
285000.0,51.522843,-0.1609526775798566,2.0,1.0,62.0
1450000.0,53.2922794,-6.1360079,5.0,5.0,250.0
465000.0,53.2511317,-6.183697673204383,2.0,2.0,118.0
345000.0,53.39490555,-6.228093555076312,3.0,2.0,111.0
450000.0,53.3410462,-6.3072776,2.0,2.0,70.0
550000.0,53.3398189,-6.2381879,2.0,2.0,74.0
1395000.0,48.8555764,2.2702166,5.0,3.0,254.0
4750000.0,53.266813,-6.1838379,5.0,4.0,414.0
430000.0,53.26713595,-6.170337799999994,3.0,1.0,84.0
950000.0,53.2888378,-6.198343,3.0,2.0,38.0
895000.0,53.3137922,-6.2523772,4.0,3.0,158.0
525000.0,53.3610883,-6.2713186,2.0,1.0,71.0
750000.0,-43.4782707,172.5920719074373,3.0,2.0,127.0
325000.0,53.37642235,-6.390999050716502,3.0,2.0,121.0
375000.0,53.4104332,-6.4404037,3.0,3.0,100.0
395000.0,39.8340699375,-84.8982674375,3.0,3.0,104.0
3000000.0,53.3291947,-6.2313316,5.0,4.0,341.0
590000.0,53.37796695,-6.357690775760451,3.0,3.0,108.0
350000.0,40.7156796,-74.0015966,2.0,1.0,62.0
750000.0,53.37421755,-6.358916746666051,4.0,3.0,132.0
325000.0,43.1429949,-80.272584,2.0,1.0,48.0
1095000.0,53.29542235,-6.294723965390171,5.0,4.0,227.0
675000.0,53.2988099,-6.2855388,3.0,2.0,124.0
300000.0,45.37635,-95.678651,1.0,1.0,111.0
325000.0,53.3313833,-6.3399741,2.0,2.0,71.0
1100000.0,53.2812377,-6.1231083,4.0,4.0,176.0
575000.0,53.2734057,-6.2505396,3.0,1.0,100.0
850000.0,53.2756245,-6.1032043,4.0,2.0,120.0
640000.0,53.24907245,-6.177839350216242,4.0,4.0,150.0
350000.0,53.3584282,-6.2416181,3.0,3.0,105.0
260000.0,53.4104332,-6.4404037,2.0,2.0,79.0
250000.0,53.4104332,-6.4404037,2.0,1.0,65.0
280000.0,22.42465205,114.22810878645944,1.0,1.0,33.0
315000.0,53.3971578,-6.2454723,3.0,2.0,117.0
795000.0,-43.4782707,172.5920719074373,5.0,1.0,163.0
575000.0,53.2756245,-6.1032043,2.0,1.0,80.0
489500.0,53.2927477,-6.2293398,2.0,2.0,87.0
3250000.0,48.509465,-101.8851618,5.0,6.0,372.0
295000.0,53.3576681,-6.240009003419805,3.0,1.0,78.0
335000.0,53.341944,-6.226389,2.0,1.0,72.0
545000.0,-43.4782707,172.5920719074373,4.0,2.0,170.0
1375000.0,53.3760261,-6.089497083150883,5.0,2.0,186.0
